_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
55,Salud,"Datos centros sociales, covid-19",P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-centros-sociales-covid-19-01-07
56,Economía,Datos de cooperativas vigentes inscritas en el Registro de Cooperativas de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-de-cooperativas-vigentes-inscritas-en-el-registro-de-cooperativas-de-navarra
57,Economía,Datos de sociedades agrarias de transformación (SAT) vigentes inscritas en el Registro de Sociedades Agrarias de Transformación (SAT) de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-de-sociedades-agrarias-de-transformacion-vigentes-inscritas-en-el-registro
58,Economía,Datos de sociedades laborales inscritas en el Registro de Sociedades Laborales de Navarra vigentes,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-de-sociedades-laborales-inscritas-en-el-registro
59,Salud,Datos evolutivos covid-19,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-evolutivos-covid-19
60,Demografía,"Datos población zonas básicas de salud, covid-19",P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-poblaci-n-zonas-b-sicas-de-salud-covid-19
61,Salud,Datos vacunación covid-19,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-vacunacion-covid-19
62,Salud,"Datos por zonas básicas de salud, covid-19",P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/datos-zonas-b-sicas-de-salud-covid-19
63,Sector público,Defunciones y mortalidad,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/defunciones-y-mortalidad
64,Sector público,Demandas de información turística,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/demandas-de-informacion-turistica
65,Educación,Departamentos UPNA,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/departamentos-upna
66,Sector público,Depósitos y créditos,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/depositos-y-creditos
67,Legislación y justicia,Derecho de acceso a la información pública - Solicitudes,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/derecho-de-acceso-a-la-informacion-publica-solicitudes
68,Urbanismo e infraestructuras,Direcciones postales de Navarra,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/direcciones-postales-de-navarra
69,Sector público,Disoluciones matrimoniales,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/disoluciones-matrimoniales
70,Salud,Donaciones recibidas por covid-19,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/donaciones-recibidas-por-covid-19
71,Sector público,Ejecución del Presupuesto de Gastos de Navarra,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/ejecuci-n-del-presupuesto-de-gastos-de-navarra
72,Sector público,Ejecución del Presupuesto de Ingresos de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/ejecuci-n-del-presupuesto-de-ingresos-de-navarra
73,Sector público,Ejecución Trimestral del Presupuesto de Gastos de Navarra,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/ejecuci-n-trimestral-del-presupuesto-de-gastos-de-navarra
74,Sector público,Ejecución Trimestral del Presupuesto de Ingresos de Navarra,P,,,,,,,P,,,,https://datosabiertos.navarra.es/es/dataset/ejecuci-n-trimestral-del-presupuesto-de-ingresos-de-navarra
75,Sector público,Elecciones de Concejos,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/elecciones-de-concejos
76,Sector público,Elecciones Generales al Congreso de los Diputados,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/elecciones-generales-al-congreso-de-los-diputados
77,Sector público,Elecciones Generales al Senado,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/elecciones-generales-al-senado
78,Sector público,Elecciones municipales,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/elecciones-municipales
79,Empleo,Elecciones Sindicales,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/elecciones-sindicales
80,Sector público,Empleo del Tiempo,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/empleo-del-tiempo
81,Sector público,Empresas,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/empresas
82,Turismo,Empresas de Actividades inscritas en el Registro de Turismo de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/empresas-de-actividades-inscritas-en-el-registro-de-turismo-de-navarra
83,Sector público,Encuesta anual de coste laboral  ,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-anual-de-coste-laboral--
84,Sector público,Encuesta de centros y servicios de atención a personas sin hogar,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-centros-y-servicios-de-atencion-a-personas-sin-hogar
85,Sector público,Encuesta de Coyuntura de la Construcción,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-coyuntura-de-la-construccion
86,Sector público,Encuesta de Coyuntura Económica de los Hogares,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-coyuntura-economica-de-los-hogares
87,Sector público,Encuesta de coyuntura industrial (ECI),,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-coyuntura-industrial-eci
88,Sector público,"Encuesta de Discapacidad, Autonomía Personal y Situaciones de Dependencia",,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-discapacidad-autonomia-personal-y-situaciones-de-dependencia
89,Sector público,Encuesta de estructura salarial,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-estructura-salarial
90,Sector público,Encuesta de fecundidad 2018,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/encuesta-de-fecundidad-2018
