_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
795,Hacienda,División Administrativa. Límites catastrales de los municipios de Navarra actuales,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadiadmi_pol_municipio-xml
796,Sector público,Delimitación de los códigos postales,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadirecc_pol_codpostal-xml
797,Sector público,Edificaciones (visibles),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadirecc_pol_edifaltura-xml
798,Sector público,Manzanas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadirecc_pol_manzana-xml
799,Sector público,Zonas verdes urbanas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadirecc_pol_zonasverdes-xml
800,Sector público,Buzones de Correos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadirecc_sym_buzones-xml
801,Hacienda,Nombres tradicionales de casa,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadirecc_txt_nombrecasa-xml
802,Urbanismo e infraestructuras,EuroVelo en Navarra. 1 - La Ruta de la Costa Atlántica,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_eurovelo1-xml
803,Urbanismo e infraestructuras,EuroVelo en Navarra. 3 - La Ruta de los peregrinos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_eurovelo3-xml
804,Sector público,Grandes Recorridos Homologados. GR 11. Senda Pirenaica,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr11-xml
805,Sector público,Grandes Recorridos Homologados. GR 12. Sendero de Euskal Herria,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr12-xml
806,Sector público,Grandes Recorridos Homologados. GR 20. Vuelta a Aralar,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr20-xml
807,Sector público,Grandes Recorridos Homologados. GR 220. Vuelta a la cuenca de Pamplona,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr220-xml
808,Sector público,Grandes Recorridos Homologados. GR 225. La fuga de Ezkaba (1938),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr225-xml
809,Sector público,Grandes Recorridos Homologados. GR 321. Camino Real,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr321-xml
810,Sector público,Grandes Recorridos Homologados. GR 322. Nafarroa Xtrem,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr322-xml
811,Sector público,Grandes Recorridos Homologados. GR 323. Bernoako Galzada - Calzada de Bernoa,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_gr323-xml
812,Sector público,Grandes Recorridos Homologados. Malerreka Recorrido Circular - Malerreka Ibilbide Zirkularra,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grmalerreka-xml
813,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 10. La Trinchera - Paso de las Alforjas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt10-xml
814,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 12. Belagua - Col de Eraize - Ste Engrace,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt12-xml
815,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 13. Argibiela - A Cazette,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt13-xml
816,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 3. Bera - Ibardin,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt3-xml
817,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 5. Kulunka Bidea,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt5-xml
818,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 7. Lepoeder - Roncesvalles - Burguete,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt7-xml
819,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 8. Txutxurieta - Azpegi,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt8-xml
820,Sector público,Grandes Recorridos Transfonterizos Homologados. GRT 9. Urbeltza - Paso de las Alforjas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_grt9-xml
821,Transporte,Concesión NAV-001. Pamplona / Iruña - Soria,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_nbusnav001-xml
822,Transporte,Concesión NAV-002. Pamplona / Iruña - Tafalla,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_nbusnav002-xml
823,Transporte,Concesión NAV-003. Pamplona / Iruña - Tudela - Zaragoza,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_nbusnav003-xml
824,Transporte,Concesión NAV-004. Pamplona / Iruña - Altsasu / Alsasua - Vitoria - Gasteiz,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_nbusnav004-xml
825,Sector público,Pequeños Recorridos Homologados. PR-NA 121. Kornieta,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna121-xml
826,Sector público,Pequeños Recorridos Homologados. PR-NA 194. Iturrixikin - Monte de Arriba,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna194-xml
827,Sector público,Pequeños Recorridos Homologados. PR-NA 201. Subida a San Donato Igoera,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna201-xml
828,Sector público,Pequeños Recorridos Homologados. PR-NA 202. Ruta del Zumaque,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna202-xml
829,Sector público,Pequeños Recorridos Homologados. PR-NA 203. Mata de Haya - Larreria - Zemeto,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna203-xml
830,Sector público,Pequeños Recorridos Homologados. PR-NA 205. Arga - Nekeas - Cañada Real,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna205-xml
831,Sector público,Pequeños Recorridos Homologados. PR-NA 206. Uñesa,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna206-xml
832,Sector público,Pequeños Recorridos Homologados. PR-NA 208. Fitero - Atalaya Olmiguete - Fitero,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna208-xml
833,Sector público,Pequeños Recorridos Homologados. PR-NA 209. Azagra - Desembocadura del Ega,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna209-xml
834,Sector público,Pequeños Recorridos Homologados. PR-NA 210. Ergaren bira,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna210-xml
835,Sector público,Pequeños Recorridos Homologados. PR-NA 211. Ruta del Agua,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_prna211-xml
836,Sector público,Rutas de BTT,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_rutasbtt-xml
837,Sector público,Senderos Locales Homologados. SL-NA 131. Aixita,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna131-xml
838,Sector público,Senderos Locales Homologados. SL-NA 138. Balcón de los Buitres / Saien Balkoia,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna138-xml
839,Sector público,Senderos Locales Homologados. SL-NA 140. Senda de los pescadores,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna140-xml
840,Sector público,Senderos Locales Homologados. SL-NA 172. Circular Ezkaba,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna172-xml
841,Sector público,Senderos Locales Homologados. SL-NA 228. Tierra roya,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna228-xml
842,Sector público,Senderos Locales Homologados. SL-NA 229. Atarrabiako Bide Botanikoa / Senda Botánica de Villava,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna229-xml
843,Sector público,Senderos Locales Homologados. SL-NA 316. Los Fuertes - Gotorlekua,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna316-xml
844,Sector público,Senderos Locales Homologados. SL-NA 320. Camino Etxebakar,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna320-xml
845,Sector público,Senderos Locales Homologados. SL-NA 54. Erlan - Irabia,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna54-xml
846,Sector público,Senderos Locales Homologados. SL-NA 70. Ermita De Idoia / Idoiako Baseliza,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna70-xml
847,Sector público,Senderos Locales Homologados. SL-NA 71. Rincones de Uztarroz / Uztarrozeko Txokoak,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna71-xml
848,Sector público,Senderos Locales Homologados. SL-NA 72. Cueva de Azanzorea,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna72-xml
849,Sector público,Senderos Locales Homologados. SL-NA 73. Murmullos del Eska / Ezkaren Xuxurlak,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna73-xml
850,Sector público,Senderos Locales Homologados. SL-NA 74. Ermita de Zuberoa / Zuberoako Baseliza,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna74-xml
851,Sector público,Senderos Locales Homologados. SL-NA 76. Camino de La Boca / La Boca Bidea,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna76-xml
852,Sector público,Senderos Locales Homologados. SL-NA 78. Foz de Burgui / Burgi,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna78-xml
853,Sector público,Senderos Locales Homologados. SL-NA 79. Artikomendia,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna79-xml
854,Sector público,Senderos Locales Homologados. SL-NA 80. Arrako,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna80-xml
855,Sector público,Senderos Locales Homologados. SL-NA 81. Mata de Haya - Dronda,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna81-xml
856,Sector público,Senderos Locales Homologados. SL-NA 82. Zemeto,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_slna82-xml
857,Sector público,Grandes Recorridos Homologados. Trekking Bidasoa,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_trb-xml
858,Sector público,Vía Verde del Bidasoa,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_vvbidasoa-xml
859,Sector público,Vía Verde del Irati,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_vvirati-xml
860,Sector público,Vía Verde del Plazaola,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_vvplazaola-xml
861,Sector público,Vía Verde del Tarazonica,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_vvtarazoni-xml
862,Sector público,Vía Verde del Ferrocarril Vasco - Navarro,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_lin_vvvasconav-xml
863,Economía,Dotaciones de servicios. Áreas de servicio,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_areasservi-xml
864,Economía,Dotaciones comerciales. Grandes superficies,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_cencomer-xml
865,Salud,Justicia. Delimitación de la jurisdicción de los Juzgados de Paz,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_juzgadopaz-xml
866,Urbanismo e infraestructuras,Dotaciones de la administración local. Mancomunidades y agrupaciones de abastecimiento de agua,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_mancoabas-xml
867,Salud,Justicia. Delimitación de la jurisdicción de los Partidos Judiciales,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_partidojud-xml
868,Economía,Dotaciones industriales. Polígonos industriales,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_polind-xml
869,Urbanismo e infraestructuras,Dotaciones de educación. Distancia a los centros de educación infantil y primaria (para el baremo de proximidad),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_proxcenedu-xml
870,Urbanismo e infraestructuras,Dotaciones de educación. Distancia a los centros de educación secundaria (para el baremo de proximidad),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_proxcensec-xml
871,Salud,Servicio Navarro de Salud. Delimitación de las Áreas de Salud,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_snsareas-xml
872,Salud,Servicio Navarro de Salud. Delimitacion de los Sectores de Salud Mental,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_snsmental-xml
873,Salud,Servicio Navarro de Salud. Delimitación de los Centros de Atención a la Salud Sexual y Reproductiva,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_snsmujer-xml
874,Salud,Servicio Navarro de Salud. Delimitacion de las Zonas Básicas de Salud,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_pol_snszonas-xml
875,Economía,Información turística. Alojamientos turísticos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_alojtur-xml
876,Sector público,Bibliotecas públicas de Navarra,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_bibliotecas-xml
877,Salud,Dotaciones de seguridad. Parques de Bomberos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_bomparques-xml
878,Urbanismo e infraestructuras,Dotaciones de la administración local. Casas consistoriales,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_casaconsis-xml
879,Sociedad y bienestar,"Información turística. Castillos, palacios y conjuntos amurallados",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_castillos-xml
880,Salud,Dotaciones de seguridad. Oficinas del Cuerpo Nacional de Policía,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_cnpolicia-xml
881,Urbanismo e infraestructuras,Dotaciones de educación. Centros educativos de Navarra,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_ctroseduca-xml
882,Sociedad y bienestar,Información turística. Edificios religiosos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_edifreligi-xml
883,Salud,Farmacias de Navarra,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_farmacias-xml
884,Salud,Dotaciones de seguridad. Comandancias y Puestos de la Guardia Civil,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_gcivil-xml
885,Urbanismo e infraestructuras,Dotaciones deportivas. Instalaciones deportivas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_instaldepo-xml
886,Sector público,Información turística. Miradores,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_miradores-xml
887,Economía,Información turística. Museos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_museos-xml
888,Economía,Información turística. Lugares de ocio,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_ocio-xml
889,Urbanismo e infraestructuras,Información turística. Oficinas de turismo,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_ofiturismo-xml
890,Transporte,Paradas Transporte Interurbano de Navarra NBUS,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_paradas-xml
891,Salud,Dotaciones de seguridad. Comisarias y Oficinas de Atención de la Policía Foral,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_pfoficinas-xml
892,Economía,Información turística. Otros recursos turísticos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_rectur-xml
893,Economía,Información turística. Restaurantes,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_restaurant-xml
894,Economía,Servicio Navarro de Empleo. Oficinas del Servicio Navarro de Empleo,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_sneoficinas-xml
895,Salud,Servicio Navarro de Salud. Centros de Atención Especializada,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_snsespecial-xml
896,Salud,Servicio Navarro de Salud. Centros de Salud Mental,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_snsmental-xml
897,Salud,Servicio Navarro de Salud. Centros de Atención a la Salud Sexual y Reproductiva,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_snsmujer-xml
898,Salud,Servicio Navarro de Salud. Centros de Atención Primaria,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_snsprimaria-xml
899,Salud,Tanatorios y velatorios de Navarra,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_tanatorios-xml
900,Economía,Información turística. Teatros y auditorios,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_teatros-xml
901,Salud,Centros Sanitarios con Urgencias,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnadotaci_sym_urgencias-xml
902,Sector público,"Mapa de suelos de Urbasa, Andía y Limitaciones de Améscoas  (Proyecto REDR)",,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaedafol_pol_redrurbasa-xml
903,Ciencia y tecnología,Mapa índice de los municipios cubiertos en el mapa de suelos (1:25.000),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaedafol_pol_suelos25mmi-xml
904,Ciencia y tecnología,Unidades cartográficas del mapa de suelos (1:25.000),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaedafol_pol_suelos25m-xml
905,Ciencia y tecnología,Red de observaciones del mapa de suelos (1:25.000),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaedafol_sym_redobsuelos-xml
906,Ciencia y tecnología,Mapa reclasificado de orientaciones basado en el MDT de 2017 20m,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaelevac_pol_aspect_20m_ve2017-xml
907,Ciencia y tecnología,Mapa reclasificado de pendientes basado en el MDT de 2017 20m,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaelevac_pol_slope_20m_ve2017-xml
908,Medio ambiente,Modelo Digital de Superficie (MDS) procedente de LiDAR. Resolución 2 metros. Año 2017,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaelevac_ras_mds_2m_ve2017-xml
909,Medio ambiente,Modelo Digital del Terreno (MDT) procedente de LiDAR. Resolución 2 metros. Año 2017,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaelevac_ras_mdt_2m_ve2017-xml
910,Medio ambiente,Sombreado orográfico o mapa de relieve en blanco y negro (MDT). Resolución 50 centímetros. Año 2017,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaelevac_ras_relievebn_mdt_50cm_ve2017-xml
911,Economía,Parques eólicos en tramitación,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_lin_peolicotra-xml
912,Economía,Parques eólicos en servicio,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_lin_peolico-xml
913,Sector público,Catastro minero. Cuadrícula,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_cuadricula-xml
914,Economía,Catastro minero. Préstamos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_prestamos-xml
915,Economía,Catastro minero. Proyectos Sección C,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_proyectosc-xml
916,Economía,Plantas solares fotovoltaicas en tramitación,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_psolartra-xml
917,Economía,Plantas solares fotovoltaicas en servicio,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_psolar-xml
918,Economía,Catastro minero. Sección A,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_secciona-xml
919,Economía,Catastro minero. Sección B,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_seccionb-xml
920,Economía,Catastro minero. Derechos Sección C,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_pol_seccionc-xml
921,Economía,Aerogeneradores en tramitación,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_sym_aerogentra-xml
922,Economía,Aerogeneradores en servicio,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaenergi_sym_aerogen-xml
923,Sector público,Zonificación Navarra 2000. Áreas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaestadi_pol_areanav2000-xml
924,Sector público,División censal. Distritos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaestadi_pol_distritos-xml
925,Sector público,Nomenclátor de Navarra. Delimitación de las Entidades de Población,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaestadi_pol_entidadpob-xml
926,Sector público,División censal. Secciones,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaestadi_pol_secciones-xml
927,Sector público,Zonificación Navarra 2000. Subzonas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaestadi_pol_szonnav2000-xml
928,Sector público,Zonificación Navarra 2000. Zonas,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaestadi_pol_zonnav2000-xml
929,Medio ambiente,Pistas forestales principales. Ejes,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_lin_pistasforp-xml
930,Medio ambiente,Acotados micológicos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_amicologico-xml
931,Medio ambiente,Ayudas a Trabajos Forestales. Comunales. Serie,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_atfc_serie-xml
932,Medio ambiente,Ayudas a Trabajos Forestales. Particulares. Serie,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_atfp_serie-xml
933,Medio ambiente,Calidad de estación para pino laricio de Austria (Pinus nigra ssp. nigra),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_calestpnigra-xml
934,Sector público,Comarcas forestales de Navarra,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_comforestales-xml
935,Medio ambiente,Aprovechamientos autorizados. Cortas en montes de titularidad privada,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_cortaspriv-xml
936,Medio ambiente,Aprovechamientos autorizados. Cortas en montes de titularidad pública,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_cortaspub-xml
937,Medio ambiente,Demarcaciones del Basozainak/Guarderío de Medio Ambiente,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_demarguarde-xml
938,Medio ambiente,Parcelas de experimentación forestal,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_experiforestal-xml
939,Medio ambiente,Forestaciones en terrenos agrarios,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_forestacion-xml
940,Medio ambiente,Fuentes semilleras y Rodales selectos,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_fsemilleras-xml
941,Medio ambiente,Zona Demarcada Fusarium circinatum,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_fusarium-xml
942,Medio ambiente,Incendios Forestales. Histórico de incendios forestales (2019-2022),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_hcoincendioa-xml
943,Medio ambiente,Incendios Forestales. Histórico de incendios forestales (1985-2018),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_hcoincendio-xml
944,Medio ambiente,Inversiones Propias Forestales (2018-2022),,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_inverspropias-xml
945,Medio ambiente,Incendios Forestales. Mapa de modelos de combustible,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_modecombus-xml
946,Medio ambiente,Montes certificados. FSC,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_montesfsc-xml
947,Medio ambiente,Montes certificados. PEFC,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_montespefc-xml
948,Medio ambiente,Propuesta de modificación del catálogo de Montes de Utilidad Pública 1912,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_mup1912mod-xml
949,Medio ambiente,Catálogo de Montes de Utilidad Pública 1912,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_mup1912-xml
950,Medio ambiente,Ordenaciones Forestales. Montes ordenados,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_ordenaciones-xml
951,Medio ambiente,Ordenaciones Forestales. Pastos ordenados,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_ordenapastos-xml
952,Hacienda,Principales zonas con potencial para Populicultura,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_potenpopulus-xml
953,Medio ambiente,Potencialidad Trufera,,P,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/spasitnaforest_pol_potentrufera-xml
